SHITOMASI,1370,24.8195,1301,19.2075,1361,20.9391,1358,18.3589,1333,17.8084,1284,17.7936,1322,17.8343,1366,18.5419,1389,18.0161,1339,18.1819
HARRIS,115,19.7385,98,19.59,113,19.4396,121,18.9548,160,18.7288,383,36.6433,85,17.5717,210,21.4816,171,19.1449,281,22.798
FAST,1824,0.971631,1832,1.11101,1810,0.989766,1817,1.20837,1793,0.982172,1796,0.975464,1788,0.984225,1695,0.898299,1749,1.02239,1770,0.901001
BRISK,2757,61.4714,2777,43.2439,2741,44.8292,2735,46.2685,2757,45.3465,2695,44.638,2715,45.3141,2628,45.8584,2639,45.7162,2672,46.6207
ORB,500,20.2277,500,9.9559,500,9.16504,500,10.7507,500,10.0897,500,12.427,500,14.9335,500,9.47325,500,8.32979,500,13.7936
SIFT,1056,192.705,1005,200.786,1034,158.103,979,188.957,983,164.929,1004,184.793,1011,151.338,1011,188.924,1066,154.117,1016,199.603
SHITOMASI,1370,29.4445,1301,22.7213,1361,48.1352,1358,22.2474,1333,19.6689,1284,27.2429,1322,21.3856,1366,26.0509,1389,22.6949,1339,19.5316
HARRIS,115,34.0423,98,41.059,113,39.8796,121,31.4457,160,39.437,383,81.6166,85,26.1886,210,66.0968,171,30.1586,281,57.4792
FAST,1824,7.22922,1832,1.52352,1810,1.46282,1817,1.40535,1793,1.40747,1796,1.51705,1788,0.97922,1695,2.1086,1749,1.48123,1770,1.44408
BRISK,2757,64.9843,2777,49.0737,2741,45.9137,2735,45.368,2757,45.3441,2695,73.8592,2715,73.9566,2628,68.4975,2639,81.85,2672,47.0637
ORB,500,15.4301,500,21.6483,500,15.518,500,16.7151,500,20.5899,500,17.4248,500,15.9378,500,20.8622,500,15.6058,500,13.9541
SIFT,1056,213.188,1005,180.748,1034,195.05,979,199.985,983,256.43,1004,176.353,1011,199.698,1011,238.385,1066,188.842,1016,194.054
SHITOMASI,1370,27.4111,1301,26.2795,1361,25.9701,1358,22.2881,1333,21.4746,1284,35.5587,1322,22.3195,1366,36.3781,1389,22.7373,1339,27.8539
HARRIS,115,33.5373,98,34.6207,113,32.1231,121,23.9576,160,25.9605,383,41.9853,85,29.9866,210,24.2515,171,34.8271,281,42.7441
FAST,1824,1.53859,1832,1.46724,1810,1.48731,1817,2.62134,1793,2.451,1796,1.42434,1788,1.35578,1695,4.3241,1749,2.55718,1770,1.40046
BRISK,2757,67.0037,2777,47.9294,2741,46.7056,2735,48.217,2757,46.6861,2695,51.4227,2715,54.4756,2628,48.9094,2639,44.5087,2672,60.077
ORB,500,17.337,500,18.152,500,19.1807,500,16.0873,500,17.9857,500,14.8669,500,18,500,14.9839,500,16.8602,500,16.9884
AKAZE,1351,296.647,1327,144.181,1311,121.891,1351,141.407,1360,131.144,1347,207.302,1363,153.972,1331,147.289,1357,153.833,1331,140.659
SIFT,1056,264.75AKAZE,1351,209.321,1327,136.052,1311,165.395,1351,157.736,1360,181.335,1347,279.12,1363,198.785,1331,267.634,1357,171.44,1331,156.826
AKAZE,1351,239.683,1327,143.342,1311,135,1351,164.439,1360,156.656,1347,191.73,1363,172.782,1331,146.022,1357,199.155,1331,196.376
SHITOMASI,1370,33.4442,1301,28.8468,1361,29.8724,1358,26.744,1333,23.3249,1284,20.5714,1322,19.6588,1366,24.2133,1389,24.7018,1339,20.2251
HARRIS,115,86.0087,98,28.1901,113,34.6975,121,26.589,160,21.2939,383,54.9935,85,24.8368,210,47.8899,171,22.7432,281,38.8543
FAST,1824,1.45246,1832,1.47579,1810,1.33241,1817,1.4023,1793,1.47534,1796,1.24485,1788,1.38397,1695,1.56117,1749,1.41592,1770,1.43123
BRISK,2757,66.0243,2777,43.8739,2741,43.8008,2735,51.6645,2757,54.7044,2695,52.0972,2715,45.5394,2628,41.206,2639,42.2194,2672,54.8861
ORB,500,16.5295,500,19.9896,500,16.3965,500,13.5341,500,13.3248,500,15.7489,500,30.4876,500,11.8576,500,17.5693,500,13.7999
AKAZE,1351,220.01,1327,225.368,1311,182.332,1351,244.173,1360,194.392,1347,177.91,1363,194.516,1331,139.896,1357,203.727,1331,139.964
SIFT,1056,286.535,1005,294.132,1034,283.648,979,376.205,983,320.443,1004,266.135,1011,217.917,1011,242.056,1066,259.494,1016,226.254
SHITOMASI,1370,70.5727HARRIS,115,62.1825AKAZE,1351,164.783,1327,124.47,1311,137.925,1351,144.985,1360,148.212,1347,177.9,1363,164.017,1331,170.711,1357,213.461,1331,166.627
SHITOMASI,1370,71.2173,1301,29.2065,1361,31.0089,1358,25.786,1333,36.1752,1284,30.7576,1322,38.8533,1366,26.9001,1389,22.8643,1339,32.321
HARRIS,115,34.94,98,62.433,113,56.8046,121,47.613,160,33.4735,383,56.2433,85,43.0342,210,87.1021,171,37.0666,281,72.793
FAST,1824,1.55874,1832,13.0829,1810,1.50514,1817,1.63161,1793,1.40886,1796,1.34895,1788,1.53786,1695,2.62602,1749,1.54582,1770,1.35227
BRISK,2757,74.8422,2777,43.9203,2741,47.9404,2735,43.1238,2757,62.2366,2695,63.681,2715,49.3415,2628,46.9242,2639,45.1917,2672,45.2334
ORB,500,23.1009,500,40.2973,500,24.0906,500,14.3616,500,21.5069,500,21.0476,500,14.5174,500,14.7276,500,19.0159,500,28.2196
AKAZE,1351,173.797,1327,115.586,1311,171.325,1351,168.4,1360,193.094,1347,169.674,1363,213.778,1331,263.747,1357,315.319,1331,282.354
SIFT,1056,433.354,1005,222.197,1034,221.433,979,197.072,983,190.489,1004,218.821,1011,203.702,1011,213.92,1066,235.004,1016,196.556
