SHITOMASI-BRISK,95,0.764469,88,0.491537,80,0.774276,90,1.14088,82,0.447698,79,0.471249,85,0.687381,86,0.700514,82,0.651445
HARRIS-BRISK,12,0.176434,10,0.095902,14,0.105657,15,0.133934,16,0.155953,16,0.141196,15,0.119555,23,0.145325,21,0.345553
FAST-BRISK,97,0.73513,104,0.686413,101,0.727966,98,0.690627,85,0.815314,107,0.649565,107,0.967837,100,1.45245,100,0.615451
BRISK-BRISK,171,1.91536,176,2.06552,157,1.90553,176,2.00971,174,2.02397,188,1.95977,173,1.93008,171,1.78914,184,1.70486
ORB-BRISK,73,0.362639,74,0.416823,79,0.378882,85,0.357201,79,0.400427,92,0.473855,90,4.87636,88,0.463482,91,0.486668
SIFT-BRISK,56,0.549688,55,0.505685,55,0.523426,53,0.52862,46,0.398173,56,0.971445,53,2.23,53,0.794014,72,0.84076
SHITOMASI-BRIEF,115,0.533168,111,0.455296,104,0.466049,101,0.448815,102,2.47449,102,0.41744,100,0.429369,109,0.447057,100,0.408644
HARRIS-BRIEF,14,1.16133,11,0.827841,15,1.10751,20,3.34915,24,3.02228,26,1.37688,16,0.113789,24,0.486647,23,0.121907
FAST-BRIEF,119,1.31868,130,8.27755,118,4.80477,126,0.927728,108,0.619686,123,0.651406,131,2.97969,125,4.27352,119,3.90647
BRISK-BRIEF,178,3.26457,205,1.98447,185,4.34807,179,4.38554,183,2.61689,195,2.09578,207,4.36014,189,4.34001,183,1.95297
ORB-BRIEF,49,2.80379,43,2.06453,45,2.12385,59,2.13953,53,6.62148,78,2.31182,68,2.5923,84,5.79858,66,2.31774
SIFT-BRIEF,73,0.506987,63,0.759769,66,0.36018,67,2.12506,53,0.417194,68,0.418755,67,0.615931,58,0.526776,75,0.489314
SHITOMASI-ORB,106,0.537017,102,0.585132,99,0.70434,102,3.89684,103,4.74169,97,0.529221,98,4.65311,104,0.459189,97,0.418334
HARRIS-ORB,12,1.59212,12,0.912633,15,1.18569,18,1.19267,24,1.22928,20,4.57435,15,0.10635,24,1.27945,22,1.19908
FAST-ORB,118,0.892844,123,0.897337,112,0.713703,126,2.82179,106,0.636541,122,0.737482,122,4.58283,123,4.34964,119,3.19077
BRISK-ORB,162,1.80117,175,6.23284,158,17.1029,167,2.30888,160,4.39956,182,3.48081,167,3.31432,171,3.16257,172,2.84452
ORB-ORB,67,0.98761,70,0.374832,72,0.388018,84,0.419672,91,8.59404,101,0.790576,92,0.559013,93,0.738862,93,0.640863
AKAZE-ORB,131,0.795359,129,0.708527,127,0.699876,117,0.741187,130,2.89842,131,0.78594,137,0.915253,135,0.832165,145,0.896535
AKAZE-BRIEF,141,3.96067,134,1.43912,131,3.82676,130,6.01464,134,0.732663,146,0.912408,150,6.89033,148,0.87655,152,5.1318
AKAZE-BRISK,137,0.777572,125,7.91388,129,1.23862,129,0.829748,131,1.03036,132,1.31037,142,1.13772,146,0.887369,144,0.891964
SHITOMASI-FREAK,86,6.99093,90,0.460472,86,0.615061,88,0.589657,86,0.549911,80,0.44001,81,0.82408,86,7.26627,85,0.527034
HARRIS-FREAK,13,0.904281,13,1.47558,15,3.56721,15,1.14968,17,1.16394,20,1.40416,12,1.71139,21,0.156927,18,0.143429
FAST-FREAK,98,0.940697,99,0.698733,91,0.714722,98,6.59919,85,9.40485,99,8.07077,102,4.6778,101,0.61325,105,1.02109
BRISK-FREAK,160,1.63534,177,1.78853,155,3.11113,173,1.88686,161,1.80777,183,1.7763,169,1.75305,178,1.61469,168,6.02668
ORB-FREAK,42,0.675204,36,1.8901,44,1.49965,47,1.78941,44,0.700822,51,0.800577,52,3.72682,48,0.779237,56,0.243288
AKAZE-FREAK,126,0.775287,129,11.9277,127,0.765728,121,5.62144,122,0.793733,133,0.883708,144,0.873116,147,4.69991,138,0.911333
SIFT-FREAK,59,2.67103,59,0.36795,57,11.1148,53,0.833444,46,0.829758,53,0.428169,55,0.784336,54,0.523038,72,2.842
AKAZE-AKAZE,138,9.94761,138,12.3558,133,1.23422,127,4.89725,129,1.49771,146,1.51269,147,1.47662,151,1.67316,150,4.83128
SHITOMASI-SIFT,112,16.6244,109,4.3578,104,5.30776,103,9.92441,99,10.5855,101,1.09583,96,1.13388,106,5.13551,97,3.41508
HARRIS-SIFT,14,1.73311,11,8.28109,16,0.089308,19,0.840755,22,1.05085,22,1.16268,13,0.103273,24,0.122205,22,0.123101
FAST-SIFT,118,3.63983,123,5.00858,110,5.34196,119,5.996,114,3.2784,119,6.97112,123,6.59899,117,1.08497,103,5.60851
BRISK-SIFT,182,5.66387,193,12.1713,169,10.2362,183,13.0696,171,11.7804,195,8.58783,194,13.0365,176,5.47368,183,8.31318
ORB-SIFT,67,0.806966,79,1.15909,78,10.5876,79,0.968364,82,6.47077,95,6.20907,95,1.3226,94,4.63685,94,3.57412
AKAZE-SIFT,134,5.45997,134,1.98251,130,2.12368,136,14.9483,137,7.37383,147,2.42812,147,2.42575,154,2.39664,151,12.8053
SIFT-SIFT,71,3.90248,67,7.5801,70,1.91839,74,1.03984,74,6.34966,67,1.03785,66,0.706262,89,1.21793,87,2.01717
